,TERMINAL_ID,X_TERMINAL,Y_TERMINAL,TERMINAL_CATEGORY
0,0,12.857020276919961,76.39428016799005,ELECTRONICS
1,1,49.92778624401149,47.074225802849114,CLOTHING
2,2,60.14983576233575,56.3313913345312,GROCERY
3,3,2.8689008371944547,42.41566976546339,FUEL
4,4,14.792608457745594,0.22713943204386577,FUEL
5,5,92.82110229603695,33.15110419837737,FUEL
6,6,7.042057615419683,99.14885591186881,OTHER
7,7,12.977394939929798,64.60334496724003,OTHER
8,8,94.8328453291775,2.3115650296661627,ELECTRONICS
9,9,62.188359279638284,97.98218642950357,GROCERY
10,10,36.8993123729791,71.88378185686815,OTHER
11,11,51.139002180326266,66.97234742394902,OTHER
12,12,66.28429525167992,16.074440552904036,OTHER
13,13,27.530881576112932,89.11476375974642,GROCERY
14,14,13.796807286695534,17.62971126830829,CLOTHING
15,15,78.80395945039919,97.65088170180213,OTHER
16,16,67.03605841024837,1.0882094722600044,FUEL
17,17,51.23823134831604,67.80783924800954,CLOTHING
18,18,81.6736435969658,26.978268633556123,FUEL
19,19,54.90752688700263,67.27442707773409,OTHER
20,20,98.09136392973055,86.25455394247923,GROCERY
21,21,20.45094613300449,53.19758484772794,GROCERY
22,22,55.37303628652278,72.30802074352148,CLOTHING
23,23,48.36246969233877,23.065993554009857,FUEL
24,24,35.32748550604481,82.54617777392886,ELECTRONICS
25,25,59.159530394904344,7.263497342061386,ELECTRONICS
26,26,23.530123166758056,49.73299234767921,GROCERY
27,27,80.22026837784834,18.23154044067814,GROCERY
28,28,86.73335518424146,18.118472156495457,FUEL
29,29,12.875967122785104,9.90653678966642,FUEL
30,30,46.70732067382711,27.139678227841724,GROCERY
31,31,27.714489253370434,16.57238343703089,ELECTRONICS
32,32,8.31169977352424,10.898893710933244,FUEL
33,33,89.59443082503675,83.52946295885168,GROCERY
34,34,42.994869204783534,47.981538478838715,ELECTRONICS
35,35,14.769129996209408,87.46635303001952,ELECTRONICS
36,36,67.33623572759107,77.05232738304905,GROCERY
37,37,20.221602778803817,19.628928425246496,GROCERY
38,38,90.1431078688177,76.14921254188994,CLOTHING
39,39,21.714825741852817,82.56516490874276,GROCERY
40,40,3.307468737742869,10.105359704198369,FUEL
41,41,20.076895416121932,95.55542418246378,FUEL
42,42,34.57478737556395,9.936715495871763,ELECTRONICS
43,43,46.89081634224846,75.98441978813247,FUEL
44,44,90.61343388955606,80.24027613195182,OTHER
45,45,69.73610887362977,61.17215073952639,FUEL
46,46,33.932066074244524,63.63110751630746,OTHER
47,47,1.6877215097497844,66.38964309300181,CLOTHING
48,48,15.982369410498098,87.52189741227542,ELECTRONICS
49,49,99.64358755396705,46.631939871785434,CLOTHING
50,50,45.97159798931846,28.565133510118002,OTHER
51,51,69.10399163187593,33.29392226262602,ELECTRONICS
52,52,5.4668061401838,9.857124697563346,GROCERY
53,53,3.4050278947037604,7.206254059531658,ELECTRONICS
54,54,84.58901064450575,24.79895843928228,FUEL
55,55,58.78819406668605,49.32452435075631,GROCERY
56,56,30.870974320456202,94.14944076808906,ELECTRONICS
57,57,31.737663828133744,63.74214649989571,GROCERY
58,58,8.923725441774877,78.28575312825275,GROCERY
59,59,17.266960110857543,73.83572291287099,GROCERY
60,60,2.45861074651863,52.28808885942588,ELECTRONICS
61,61,83.91248483727817,35.73489562748695,ELECTRONICS
62,62,46.630319720316514,14.634240076990057,GROCERY
63,63,12.72029160585304,17.512076006214116,CLOTHING
64,64,73.9246874033692,42.382841451085774,OTHER
65,65,19.565282994532097,65.95351131913667,CLOTHING
66,66,6.192023514845257,99.40540582192166,OTHER
67,67,59.839210732403814,59.07771528886505,ELECTRONICS
68,68,89.57577517412815,8.202657633559607,ELECTRONICS
69,69,2.69434113847028,89.85100507870179,GROCERY
70,70,80.51359898916692,34.77237820182375,CLOTHING
71,71,19.017001672834077,23.06678546194041,OTHER
72,72,9.290142163654714,7.267891455136466,ELECTRONICS
73,73,1.7962035652556163,86.15476040480749,CLOTHING
74,74,29.297506701208597,44.364626293398416,OTHER
75,75,72.71117439819182,23.54505375339584,GROCERY
76,76,49.31789510081169,29.713390197665934,GROCERY
77,77,85.29199944545277,80.46341754506014,OTHER
78,78,21.721130352149032,82.39544026192657,OTHER
79,79,31.518274714343164,91.87305422417262,OTHER
80,80,25.814085185458836,37.775191080051606,GROCERY
81,81,97.8301137314217,43.20500682831179,FUEL
82,82,94.10059946514349,11.174939931882289,FUEL
83,83,34.068617585650905,28.81117516187618,FUEL
84,84,43.600150359233105,90.2030262558574,GROCERY
85,85,31.431962870385288,86.0647988578911,FUEL
86,86,74.65089173054106,80.38440603165628,GROCERY
87,87,4.001310255319024,85.6701842195157,ELECTRONICS
88,88,6.743893309202608,51.00680533479345,CLOTHING
89,89,40.40375874684062,32.47054993072981,CLOTHING
90,90,24.5094051114064,3.615113364954703,CLOTHING
91,91,84.52249817012269,75.32917666513583,ELECTRONICS
92,92,74.18070964752901,68.081356556233,FUEL
93,93,54.579398252295675,80.32698595888232,GROCERY
94,94,66.14755143135007,61.98450247870642,ELECTRONICS
95,95,69.22791066849238,94.00719516613212,FUEL
96,96,78.10548233983421,89.34289049889757,CLOTHING
97,97,92.75025971156828,21.647466791961445,GROCERY
98,98,14.973517378773293,94.65052476283273,GROCERY
99,99,62.61301577453815,68.55254563231104,FUEL
100,100,14.362144311335513,50.539596352330875,FUEL
101,101,44.313094128469686,88.05715579222296,OTHER
102,102,78.6284788623732,79.20817598268509,FUEL
103,103,89.46977936861454,62.48443760568829,FUEL
104,104,75.92281541245298,58.5016070213605,GROCERY
105,105,3.540820408159373,64.52045251929066,CLOTHING
106,106,35.94120764337767,59.01886546461411,ELECTRONICS
107,107,16.30568324215289,6.091726940464303,OTHER
108,108,99.88024876324017,45.58616954988738,ELECTRONICS
109,109,14.401535763003736,78.14689222294159,OTHER
110,110,24.431444284648297,0.6288548895270085,OTHER
111,111,35.721971277952704,19.111557341185225,GROCERY
112,112,6.088670290918796,84.33928197122366,ELECTRONICS
113,113,87.03849170433338,22.31736080812523,ELECTRONICS
114,114,63.636142186312426,5.474381546800844,ELECTRONICS
115,115,15.97482399584199,35.05735811173165,ELECTRONICS
116,116,49.82685577125502,10.442956556490813,GROCERY
