,CUSTOMER_ID,X_CUSTOMER,Y_CUSTOMER,MEAN_PURCHASE_AMOUNT,STD_PURCHASE_AMOUNT,MEAN_PURCHASE_FREQUENCY
0,0,64.18672286110481,98.26945313185351,393.2675043873815,49.98282697464048,7
1,1,54.31095053834645,35.777843800588336,328.231984069065,23.099313059373486,2
2,2,92.42374303131173,87.9050396044298,128.59671584496968,45.34237542321483,2
3,3,27.69614899149293,3.865309476998169,316.5840142222402,13.414932712652929,3
4,4,55.05552554838216,84.0017249459345,39.26117784229323,40.02794889820897,7
5,5,34.02877074081667,27.491234012954802,343.59606120045316,17.521636435773217,5
6,6,91.38632170275693,33.45977293702025,337.0961595115802,19.510102311624046,1
7,7,64.1747012882587,19.011456521846814,140.17550166926355,47.65364448978321,2
8,8,93.2576404232954,78.27120317825366,431.5383517360123,49.0417775073513,7
9,9,3.890431064667388,20.58349071909612,172.40438824726667,24.100998260512494,3
10,10,93.44488321483455,61.80273773864419,151.3406235994901,18.613002776115977,6
11,11,25.413849996915793,43.64076404426168,192.74602005396855,12.435031735419773,5
12,12,50.81283425634139,85.10417495006953,402.5105576020677,11.011832670064974,1
13,13,22.935882525775455,30.695183226026558,306.0570512995897,19.045254697526783,6
14,14,5.109045407130686,65.24891380861746,490.2062899868764,43.07747298929938,7
15,15,37.687809411296804,16.97735423986454,466.03044865441507,30.053878566538284,1
16,16,36.81892111770452,1.9503314165495333,93.56066880160718,8.851955236274543,5
17,17,7.032907800063127,39.28000777836237,275.3868134460007,23.89994612090527,7
18,18,2.29400853446462,79.91399780890241,219.87668534683453,21.59804231004921,5
19,19,54.74119101534075,87.7924275598064,384.973815352872,11.0200290067581,4
20,20,90.73653579913139,40.13424511132088,45.06855437532626,48.78098427161576,3
21,21,33.93110095589065,11.294747108058424,70.73041056340159,16.277136503668014,6
22,22,14.558772647566698,70.88816702652262,429.72172207419067,45.627296978973455,3
23,23,43.17878921000929,68.94820258837895,374.69169645258387,14.472310062466075,6
24,24,62.09224798366303,82.45233028080308,21.462303657105647,36.887735251149984,4
25,25,35.10501689007624,88.8932531990534,175.55094948744014,10.987192040834548,7
26,26,40.58866042812376,7.263643899038819,342.9786523355557,17.933457857881827,5
27,27,22.13941732203105,50.60645782471463,460.3181035009805,5.130902521785768,8
28,28,47.28815578901215,75.4372968112512,35.82748586132315,14.29821297332094,6
29,29,40.94485796255739,9.987777202224047,463.9675027774192,13.451841180510804,2
30,30,68.35265184875362,51.488734097722485,483.9248608884641,30.663320235820834,8
31,31,67.0894532819799,56.29433142933831,56.03428595202913,12.302888143361224,1
32,32,65.63982887300276,19.20370236541844,200.2311269756816,43.867880078210916,4
33,33,67.11696017611253,89.5199015487173,280.41577248025413,36.27763429120493,7
34,34,12.802572946012358,56.608689358176136,310.4415674636126,8.857318551834513,4
35,35,66.76174777340606,33.12073307714809,88.5709144435431,32.958855109802805,9
36,36,46.65350059714072,57.59660914567198,285.5294319660805,5.691203374286717,5
37,37,22.293089242342447,32.95410619795342,277.6386527924904,16.05163764505321,7
38,38,54.72337576733075,48.377210567288856,68.73508388986858,14.016115481579467,4
39,39,95.63974150397456,78.43267654272668,54.192689579145046,7.827960864166358,8
40,40,1.4806588393626918,86.7907196359824,176.63101293662567,31.30863580570503,2
41,41,57.92858688909786,12.082813340679955,209.80454726586953,45.63718764578711,6
42,42,24.44977475391701,5.530957616671173,173.50931832329644,10.03122275333298,3
43,43,32.94479901927194,3.0378566439334564,291.90469025695955,43.985722337416604,2
44,44,77.34479755653285,73.0326143599855,111.70562186930697,9.447511645841871,7
45,45,4.125308725912269,84.65547791218891,93.64812840629828,20.652032272414264,5
46,46,80.05105460342816,3.1066525668489,235.73766735823384,35.36983941503449,0
47,47,71.61472430309223,66.72407977709028,303.1275445894566,33.1192653546076,2
48,48,2.444425763831848,62.945377209652634,455.11162377268187,37.10220612983147,4
49,49,99.20842753886899,56.16310163366497,376.5935542503694,38.997467636353825,2
50,50,49.32878124518726,61.46571700897743,47.27812910867933,17.23115342452548,1
51,51,4.258086904999347,57.23615263154226,26.25136306490598,40.92180591969878,6
52,52,80.33149189173663,93.21909700258027,191.3224780499031,28.38736760532966,1
53,53,20.66656573328479,12.88940717450977,488.0126270717706,26.370393169272734,2
54,54,10.833721524838413,38.740150005711435,235.8807258217482,24.080016556194163,1
55,55,85.50811610582953,98.57422103576508,395.8103669776792,32.790910591467984,5
